sku,Product Code,Product Name,Cost Price,Retail Price
#11,#11,WSL #11 Water Filter Tap Adaptor,13.44,16.8
#12,#12,#12 Water Filter Tap Adaptor,37.44,46.8
#17,#17,#17 Microlene Tap Adaptor D/Washer,64.51,80.64
#1BRASS,#1BRASS,#1 Microlene Tap Adaptor Brass,15.12,18.9
#2,#2,WSL #2 Water Filter Tap Adaptor,16.13,20.16
#4CP,#4CP,#4 Microlene Tap Adaptor,15.12,18.9
0003V,0003V,"Mamoli 1/2"" Head Valve",51.94,64.92
0004V,0004V,Mamoli Cartridge White,131.92,164.9
0019A,0019A,Mamoli Diverter Only for Epoca Bath Mixer,92.34,115.43
0019V,0019V,Mamoli Cartridge Rally/Vip/Ego/Roby/Quark,138.52,173.15
0019Z,0019Z,Mamoli Assembly for Cross Q4266/Q2566 (Per Pair),101.58,126.98
0021S,0021S,Mamoli Cartridge Pico New Style,184.69,230.86
23,23,Tuiti Fruiti Disenfectant 5 Ltr,27.89,31.87
0023V,0023V,Mamoli Ceramic Headworks For E4441  (Pair),138.52,173.15
007L,007L,McKinley Viareggio Shower Mixer,468.78,520.87
92541,92541,5kg Sikaplug Quickset Waterstop,52.98,72.58
1017,1017,Award Luca Shower Caddy,22.6,28.25
1027,1027,Presto Exposed Urinal Cartridge,137.6,172
1039,1039,Presto Interchangeable Long Lever Head,233.5,291.88
108000006,108000006,1655mm Clearlite Pacific Bath,232.13,257.92
110000006,110000006,1525mm Clearlite Pacific Bath,232.13,257.92
1159,1159,Presto Headworks for 704/705,111.5,139.38
12142,12142,Rheem Auto Lazer Element Gasket Silicon,4.64,5.8
14542,14542,Neta Universal Spray Gun,33.4,41.75
14733,14733,12mm Neta Hose/Joiner Repair,5.05,6.31
14856,14856,Neta Adjustable Nozzle,8.25,10.31
15310,15310,12mm Neta Brass Hose Connection,14.3,17.87
01997B,01997B,19mm Nato Camlock Pins,0.79,1.22
019LEVER,019LEVER,WSL 19mm Nato camlock Lever S/Steel,6.29,9.67
22468,22468,375ml Bostik Tuff As Nails Original,8.81,14.45
02G100100,02G100100,100x100mm Galv Barrel Nipple,36.18,69.58
02G100150,02G100150,100x150mm Galv Barrel Nipple,45.78,88.03
02G15100,02G15100,15x100mm Galv Barrel Nipple,4.15,7.98
02G15130,02G15130,15x130mm Galv Barrel Nipple,4.9,9.42
02G15150,02G15150,15x150mm Galv Barrel Nipple,3.75,7.21
02G15200,02G15200,15x200mm Galv Barrel Nipple,6.9,13.27
02G15250,02G15250,15x250mm Galv Barrel Nipple,8.3,15.96
02G15300,02G15300,15x300mm Galv Barrel Nipple,6.73,12.95
02G15450,02G15450,15x450mm Galv Barrel Nipple,11.28,21.7
02G15600,02G15600,15x600mm Galv Barrel Nipple,18.3,35.19
02G20100,02G20100,20x100mm Galv Barrel Nipple,4.45,8.56
02G20120,02G20120,20x120mm Galv Barrel Nipple,6.05,11.64
02G20130,02G20130,20x130mm Galv Barrel Nipple,6.39,12.28
02G20150,02G20150,20x150mm Galv Barrel Nipple,3.95,7.6
02G20180,02G20180,20x180mm Galv Barrel Nipple,8.13,15.64
02G20200,02G20200,20x200mm Galv Barrel Nipple,7.33,14.09
02G20250,02G20250,20x250mm Galv Barrel Nipple,8.73,16.78
02G20300,02G20300,20x300mm Galv Barrel Nipple,6.82,13.11
02G20450,02G20450,20x450mm Galv Barrel Nipple,11.78,22.66
02G20600,02G20600,20x600mm Galv Barrel Nipple,22.47,43.22
02G25100,02G25100,25x100mm Galv Barrel Nipple,6.59,12.68
02G25130,02G25130,25x130mm Galv Barrel Nipple,7.55,14.51
02G25150,02G25150,25x150mm Galv Barrel Nipple,5.56,10.7
02G25200,02G25200,25x200mm Galv Barrel Nipple,9.85,18.94
02G25250,02G25250,25x250mm Galv Barrel Nipple,13.58,26.11
02G25300,02G25300,25x300mm Galv Barrel Nipple,10.08,19.39
02G25450,02G25450,25x450mm Galv Barrel Nipple,17.2,33.08
02G25600,02G25600,25x600mm Galv Barrel Nipple,33.24,63.92
